科室,标题,发布日期,详情链接,附件名,附件下载次数,附件链接
【教研教改】,关于公布参加2025级“数理金融实验班”选拔面试学生名单的通知,2025-09-10,https://jwch.fzu.edu.cn/info/1037/14197.htm,,,
【教研教改】,关于公布参加2025级“嘉锡化学拔尖班”选拔面试学生名单的通知,2025-09-10,https://jwch.fzu.edu.cn/info/1037/14196.htm,,,
【教学运行】,关于做好2025年9月退役复学学生转专业的通知,2025-09-10,https://jwch.fzu.edu.cn/info/1036/14199.htm,"['福州大学本科生转专业管理实施办法.docx', '福州大学参军退伍复学后学生转专业审批表.doc']","['297', '176']","['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16716630', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16716625']"
【教学通知】,关于做好2025年9月退役复学学生转专业的通知,2025-09-10,https://jwch.fzu.edu.cn/info/1012/14194.htm,"['福州大学本科生转专业管理实施办法.docx', '福州大学参军退伍复学后学生转专业审批表.doc']","['297', '176']","['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16716630', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16716625']"
【教学运行】,关于2025-2026第一学期学期选课、辅修选课补退选和缴费的通知,2025-09-07,https://jwch.fzu.edu.cn/info/1036/14191.htm,,,
【综合科】,关于2025-2026学年第一学期本科生学生证补办和火车票优惠区间更改的通知,2025-09-07,https://jwch.fzu.edu.cn/info/1035/14190.htm,,,
【综合科】,关于2025级本科生（含访学学生）学生证信息采集的通知,2025-09-07,https://jwch.fzu.edu.cn/info/1035/14186.htm,,,
【质量办】,关于开展2025年秋季学期申请类督导听课工作的通知,2025-09-06,https://jwch.fzu.edu.cn/info/1040/14187.htm,['附件：2025年秋季学期申请类督导听课汇总表.docx'],['103'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714968']
【质量办】,关于开展2025年工程教育专业认证申请工作的通知,2025-09-06,https://jwch.fzu.edu.cn/info/1040/14188.htm,"['附件3 工程教育认证申请书（2025版）修订说明.pdf', '附件2 工程教育认证申请书（2025版）.docx', '附件1 2025年接受认证申请的专业领域及专业一览表.pdf']","['470', '135', '475']","['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714969', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714970', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714971']"
【质量办】,关于开学第一周集中听课的通知,2025-09-06,https://jwch.fzu.edu.cn/info/1040/14189.htm,"['附件1：福州大学课堂教学质量评估表.doc', '附件2：福州大学课堂教学质量评估表（思政课）.docx', '附件3：202501第一周课表.xlsx', '附件4：福州大学党政领导听课管理实施办法（福大教〔2022〕27号）.doc']","['123', '116', '194', '76']","['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714972', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714973', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714974', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714975']"
【计划科】,关于2025-2026学年第一学期港澳台侨学生思政课和军事课程退选替代的通知,2025-09-06,https://jwch.fzu.edu.cn/info/1038/14185.htm,"['2025-2026学年第一学期国情课列表.docx', '港澳台侨学生思政课和军事课程退选申请表.docx']","['586', '623']","['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714904', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714905']"
