Date,Mean Temperature (°C),Max Temperature (°C),Min Temperature (°C),Precipitation (mm),Sunshine Duration (s)
2024-04-08,19.6,24.5,16.2,1.8,19906.38
2024-04-09,18.0,20.1,16.2,2.5,7885.6
2024-04-10,17.8,22.1,12.5,0.0,35429.83
2024-04-11,20.9,27.1,17.4,0.0,35798.27
2024-04-12,22.1,27.5,17.1,1.2,27245.31
2024-04-13,22.0,25.1,19.8,0.2,4882.96
2024-04-14,24.0,31.2,19.4,0.1,24521.71
2024-04-15,25.6,32.4,19.9,0.0,39287.43
2024-04-16,24.7,29.0,21.6,2.7,36151.32
2024-04-17,24.5,28.7,22.2,12.5,19435.96
2024-04-18,21.4,24.0,18.4,0.8,23644.1
2024-04-19,19.9,24.1,16.4,3.0,29671.07
2024-04-20,23.6,30.9,17.8,4.4,31790.71
2024-04-21,24.7,29.4,21.5,3.2,29000.38
2024-04-22,22.9,26.9,20.1,33.2,11798.82
2024-04-23,23.0,26.1,20.9,6.7,15469.82
2024-04-24,21.1,23.1,18.5,5.7,17147.47
2024-04-25,19.8,22.1,18.0,9.3,10458.42
2024-04-26,22.2,26.9,18.6,2.2,16288.39
2024-04-27,23.2,27.3,21.3,0.5,10941.76
2024-04-28,24.1,28.7,21.0,1.9,23001.83
2024-04-29,25.7,32.6,19.4,2.3,40271.1
2024-04-30,24.2,26.8,22.3,25.6,851.72
2024-05-01,20.1,22.5,17.6,4.7,465.67
2024-05-02,19.0,23.4,17.3,1.8,22085.81
2024-05-03,19.7,24.1,15.6,0.0,40774.96
2024-05-04,21.0,23.3,18.7,2.4,7769.91
2024-05-05,24.3,30.3,19.8,12.1,32053.91
2024-05-06,24.3,30.4,19.7,0.0,43200.0
2024-05-07,22.9,26.1,19.8,0.0,11693.91
2024-05-08,23.4,27.9,20.5,0.6,42120.11
2024-05-09,20.5,24.3,17.7,0.0,32926.16
2024-05-10,21.2,26.1,15.3,0.0,43200.0
2024-05-11,24.7,31.5,20.1,0.2,26452.28
2024-05-12,24.2,28.8,20.2,32.3,8926.93
2024-05-13,19.3,23.0,15.8,1.8,29909.13
2024-05-14,18.9,25.1,12.5,0.0,43301.73
2024-05-15,21.3,27.6,14.2,0.0,43332.66
2024-05-16,20.4,24.4,16.5,0.0,43247.67
2024-05-17,20.9,28.1,13.0,0.0,43372.09
2024-05-18,23.4,29.1,16.8,0.0,43200.0
2024-05-19,23.6,29.6,17.7,0.0,28551.33
2024-05-20,22.7,24.7,20.8,16.4,1498.18
2024-05-21,22.3,23.5,21.1,51.9,0.0
2024-05-22,22.1,24.6,20.7,34.9,0.0
2024-05-23,22.0,23.5,20.5,24.0,0.0
2024-05-24,24.5,29.3,21.2,1.2,16320.16
2024-05-25,24.8,28.4,22.7,9.8,16938.75
2024-05-26,26.3,31.6,22.7,2.5,36718.73
2024-05-27,26.3,30.6,23.4,5.3,22357.77
2024-05-28,23.7,25.5,20.2,2.9,35895.6
2024-05-29,21.3,25.6,16.9,0.0,43923.2
2024-05-30,23.1,27.5,18.2,2.4,25102.22
2024-05-31,27.0,32.9,22.7,7.9,35999.92
2024-06-01,22.9,25.3,21.0,29.0,0.0
2024-06-02,20.5,21.5,18.6,39.2,0.0
2024-06-03,20.7,23.3,17.0,0.0,9105.68
2024-06-04,20.8,26.4,15.4,1.2,19883.93
2024-06-05,21.2,22.9,19.6,9.5,0.0
2024-06-06,22.2,24.4,20.2,0.7,1513.91
2024-06-07,23.6,27.4,20.9,0.1,26677.3
2024-06-08,25.2,30.3,21.1,16.0,36000.0
2024-06-09,25.1,29.6,22.9,23.5,14263.86
2024-06-10,26.6,30.6,23.9,10.8,7200.0
2024-06-11,27.6,31.9,24.7,7.7,23986.5
2024-06-12,27.7,32.6,24.5,20.1,23797.7
2024-06-13,27.1,29.6,24.5,11.1,10097.45
2024-06-14,27.4,31.3,25.2,21.3,18294.21
2024-06-15,26.9,28.9,24.9,23.5,0.0
2024-06-16,26.6,30.3,25.0,24.0,10800.0
2024-06-17,27.3,31.9,24.9,23.8,11723.93
2024-06-18,25.0,26.4,24.1,11.8,0.0
2024-06-19,27.3,31.2,23.9,3.2,20341.03
2024-06-20,29.5,35.5,24.9,0.5,40938.11
2024-06-21,30.0,35.9,25.5,0.0,43595.23
2024-06-22,30.3,36.0,25.8,0.0,41914.61
2024-06-23,30.5,35.9,26.1,0.4,43003.83
2024-06-24,30.1,35.2,26.2,3.1,37006.02
2024-06-25,29.0,34.8,25.4,7.0,37431.34
2024-06-26,28.4,32.6,25.7,1.2,26552.95
2024-06-27,29.5,34.7,26.1,2.5,36280.37
2024-06-28,29.2,32.7,25.6,0.7,38977.07
2024-06-29,29.1,32.8,26.2,1.9,36031.88
2024-06-30,29.9,34.3,25.8,1.1,42654.24
2024-07-01,30.0,34.7,26.1,0.7,43200.0
2024-07-02,30.6,35.2,26.2,0.0,44726.54
2024-07-03,31.0,36.7,26.8,0.0,45026.39
2024-07-04,31.6,38.2,25.6,0.0,45156.52
2024-07-05,32.1,37.5,27.6,0.0,45465.74
2024-07-06,31.6,37.3,26.6,0.0,45119.74
2024-07-07,30.9,36.6,25.6,0.4,44736.03
2024-07-08,31.1,36.6,26.2,0.0,44522.25
2024-07-09,31.0,37.0,25.5,0.0,44462.14
2024-07-10,31.3,37.6,25.6,0.0,44460.27
2024-07-11,31.6,38.7,25.6,0.4,44584.67
2024-07-12,32.1,38.8,27.0,0.1,38957.77
2024-07-13,32.1,39.1,26.5,0.7,42752.78
2024-07-14,31.6,38.4,26.5,0.2,44075.7
2024-07-15,30.9,36.7,26.3,0.0,43576.73
2024-07-16,30.4,36.7,26.2,1.3,44568.55
2024-07-17,31.7,38.3,26.3,0.3,44569.57
2024-07-18,32.7,40.2,26.1,0.0,44805.12
2024-07-19,33.1,39.7,26.9,0.0,44810.34
2024-07-20,33.2,39.5,27.1,0.0,44308.85
2024-07-21,31.9,37.0,27.8,0.0,44785.42
2024-07-22,31.4,36.6,26.6,0.4,44658.83
2024-07-23,31.0,36.5,26.4,1.1,43942.79
2024-07-24,29.7,35.2,27.1,10.8,26020.79
2024-07-25,26.9,27.6,26.3,114.7,0.0
2024-07-26,27.1,28.9,26.2,57.1,0.0
2024-07-27,27.3,29.2,26.0,32.2,4005.53
2024-07-28,27.7,30.9,25.4,10.7,36270.41
2024-07-29,28.1,31.7,25.5,4.2,34945.54
2024-07-30,28.4,32.1,26.5,7.3,34902.18
2024-07-31,29.2,33.1,25.7,1.3,43925.59
2024-08-01,30.4,35.8,26.5,0.4,43815.03
2024-08-02,31.3,35.5,27.4,0.0,43918.21
2024-08-03,31.6,37.7,28.1,5.4,43200.0
2024-08-04,30.6,35.5,26.8,0.3,43806.71
2024-08-05,29.4,34.5,25.4,0.0,43702.68
2024-08-06,29.5,33.9,26.5,0.5,40598.15
2024-08-07,29.9,35.3,25.4,0.0,43408.14
2024-08-08,30.4,35.8,26.2,1.6,43200.0
2024-08-09,30.4,35.8,26.0,0.0,43200.0
2024-08-10,30.4,34.5,27.2,2.8,37873.73
2024-08-11,30.8,35.2,27.1,0.9,43329.65
2024-08-12,30.7,35.9,26.2,0.7,39600.0
2024-08-13,30.0,35.3,27.1,5.1,25448.76
2024-08-14,27.8,31.0,26.2,15.2,23011.96
2024-08-15,27.2,29.9,25.6,23.3,22659.92
2024-08-16,27.1,29.7,25.8,20.8,9875.96
2024-08-17,27.1,30.9,25.4,33.0,21712.04
2024-08-18,27.4,30.7,25.5,21.8,34048.79
2024-08-19,27.5,30.2,25.6,12.0,37412.88
2024-08-20,27.3,29.7,25.6,5.3,15032.34
2024-08-21,28.1,32.6,25.3,22.2,31516.54
2024-08-22,28.2,31.0,25.6,14.5,40225.46
2024-08-23,28.6,32.7,26.2,8.0,40166.72
2024-08-24,28.3,32.2,25.7,11.1,43051.47
2024-08-25,28.7,33.1,25.5,0.5,39600.0
2024-08-26,28.8,32.9,25.7,0.0,40710.37
2024-08-27,30.4,34.2,25.8,0.5,40188.66
2024-08-28,28.7,31.4,26.7,27.8,24956.32
2024-08-29,28.2,31.6,26.5,5.7,30022.85
2024-08-30,29.0,33.5,25.1,0.5,42909.43
2024-08-31,28.6,33.6,25.6,7.4,29596.54
2024-09-01,29.7,33.2,26.2,1.9,42857.13
2024-09-02,30.0,33.9,26.9,1.6,41422.15
2024-09-03,28.6,32.4,25.7,0.9,41815.55
2024-09-04,28.1,32.1,25.0,0.0,38669.23
2024-09-05,28.8,32.5,25.6,0.4,37831.29
2024-09-06,28.4,31.9,26.3,3.3,35679.45
2024-09-07,27.7,30.7,26.0,11.0,26345.72
2024-09-08,27.6,30.4,25.4,6.0,40440.23
2024-09-09,27.8,31.6,24.7,2.3,42165.79
