通知人,附件名,下载次数
质量办,附件2：学院本科教学督导组名单.docx,614
教学运行,2401史纲随堂考.xlsx,811
教学运行,2401英语四期末考-12.29上午.xlsx,941
教学运行,2401计算机语言课程期末考-12.28上午.xlsx,608
教材中心,福州大学2024年本科数字教材建设立项项目名单.xls,619
实践科,附件.zip,1950
教学运行,2401概率期末考-12.15下午.xlsx,554
教学运行,2401马原随堂考.xlsx,542
教学运行,2401毛概随堂考.xlsx,515
实践科,附件：“三创赛”福州大学校赛附件.zip,771
实践科,附件：中国高等教育学会碳中和与清洁能源教育专业委员会关于开展 2024 年高校双碳实践育人案例征集的通知.pdf,791
教学运行,2401制图E期末考-12.8上午.xlsx,541
教学运行,2401高等数学A下期末考-12.1上午.xlsx,717
教材中心,附件1.福州大学本科数字教材建设立项申报表.docx,930
教材中心,附件2.福州大学本科数字教材建设立项申报汇总表.xls,560
教材中心,附件3.福州大学本科教材编写人员政治审查表.docx,624
实践科,附件1：获省赛参赛资格名单.docx,2484
教材中心,附件1：已出版马克思主义理论研究和建设工程重点教材目录（截至2024年08月，共计117种）.xlsx,787
教材中心,附件2：全国大中专教学用书目录(2025春)(1).xlsx,882
实践科,附件1：2024年福州大学第十八届本科生数学建模竞赛获奖名单.xlsx,3346
教学运行,2401习概随堂考.xlsx,664
教学运行,2024各学院转专业细则.pdf,8840
教学运行,2401线性代数、线性代数与解析几何半期考11.24上午.xlsx,745
教学运行,2401高等数学A（上）、B（上）、C（上）、D半期考11.17上午.xlsx,1885
质量办,附件1：福州大学课堂教学质量评估表.doc,488
质量办,附件2：福州大学课堂教学质量评估表（思政课）.docx,510
质量办,附件3：第10-11周课表.xlsx,719
质量办,附件4：福州大学党政领导听课管理实施办法（福大教〔2022〕27号）.doc,493
教学运行,附件3：获得图像采集码途径.pdf,1172
教学运行,附件2：各学院分班拍照顺序.pdf,1208
教学运行,附件1：拍照地点示意图.pdf,875
教学运行,2401大物A（下）、B（下）半期考11.2上午.xlsx,798
质量办,附件：2024年福州大学新上岗教师达标培训班名单（配导师）.xlsx,1416
教学运行,2401概率论半期考10.27下午.xlsx,588
教学运行,2401高等数学A（下）半期考10.13上午.xlsx,745
实践科,2024年本科教学相关数据报送表格.zip,809
质量办,附件.rar,670
实践科,附件1：组委会成员名单.docx,906
实践科,附件2：报名表.docx,953
实践科,附件3：命题与运行.docx,1631
计划科,2024年秋季国际化拔尖创新人才科研训练具体课程清单.xlsx,2298
