Title,Holder,Date,附件,附件名,下载次数
福州大学关于开展2024级“数智实验班” 招生工作的通知,教研教改,2024/8/30,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14904997,附件1：专家信息汇总表.xlsx,358
,,,,,
关于购买优惠火车票相关事宜的通知,综合科,2024/8/30,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14904857,附件：2024年秋季学期申请类督导听课汇总表.docx,183
,,,,,
福州大学关于开展2024级“嘉锡化学拔尖班”招生工作的通知,教研教改,2024/8/30,0,0,0
,,,,,
福州大学关于开展2024级“数理综合班”招生工作的通知,教研教改,2024/8/30,0,0,0
,,,,,
福州大学关于开展2024级“数理金融实验班”招生工作的通知,教研教改,2024/8/30,0,0,0
,,,,,
关于2024-2025学年第一学期辅修专业补退选、缴费的通知,教学运行,2024/8/26,0,0,0
,,,,,
关于2024-2025学年第一学期港澳台侨学生思政课和军事课程退选替代的通知,计划科,2024/8/25,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14903737,福州大学本科生转专业管理实施办法.doc,319
,,,,,
