               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.037356,            0.031123,            0.016765,             0.59093,             0.60458,             0.60189,             0.38306,             0.03407,            0.017179,            0.012314,            0.007543,            0.007543,            0.007543
                  37,            0.037254,            0.031192,            0.016658,             0.63813,             0.56751,             0.60442,             0.38421,            0.034087,            0.017288,            0.012858,            0.007416,            0.007416,            0.007416
                  38,            0.036922,            0.030747,            0.016511,             0.62322,               0.591,             0.61314,             0.39472,            0.033754,            0.017172,            0.011994,           0.0072872,           0.0072872,           0.0072872
                  39,            0.036371,            0.030344,            0.015901,             0.64259,             0.57288,             0.61149,             0.39247,            0.033599,            0.017117,            0.012104,           0.0071566,           0.0071566,           0.0071566
                  40,            0.036453,            0.030705,            0.015713,             0.63127,             0.58671,             0.61128,             0.39705,            0.033377,            0.017113,            0.011683,           0.0070243,           0.0070243,           0.0070243
                  41,            0.036054,            0.030478,            0.015277,             0.64254,              0.5891,              0.6183,             0.40522,            0.033217,            0.017002,            0.011601,           0.0068906,           0.0068906,           0.0068906
                  42,            0.036087,            0.030475,             0.01512,             0.64396,             0.58851,             0.62387,             0.40927,             0.03306,            0.016936,            0.011578,           0.0067555,           0.0067555,           0.0067555
                  43,             0.03581,            0.030218,            0.014839,             0.64854,             0.59927,              0.6262,             0.41075,            0.032923,            0.016878,            0.011251,           0.0066191,           0.0066191,           0.0066191
                  44,            0.035392,            0.029904,            0.014847,              0.6427,             0.60261,             0.63042,             0.41654,            0.032758,            0.016826,            0.011032,           0.0064816,           0.0064816,           0.0064816
                  45,            0.035256,            0.030232,            0.014246,             0.63258,             0.61265,             0.63437,             0.41995,            0.032804,            0.016753,            0.011113,           0.0063432,           0.0063432,           0.0063432
                  46,            0.035269,            0.029744,            0.014115,             0.65861,             0.60002,             0.64013,             0.42504,            0.032573,            0.016713,            0.011171,            0.006204,            0.006204,            0.006204
                  47,            0.034845,            0.029914,            0.013915,             0.66693,             0.59147,             0.64016,             0.42769,            0.032396,            0.016686,            0.011027,            0.006064,            0.006064,            0.006064
                  48,            0.034957,            0.029613,            0.013698,             0.67611,             0.58303,             0.63836,              0.4278,            0.032415,             0.01668,            0.011168,           0.0059235,           0.0059235,           0.0059235
                  49,            0.034374,            0.029237,            0.013525,             0.65905,             0.60624,             0.64137,             0.42969,            0.032221,            0.016633,            0.010909,           0.0057826,           0.0057826,           0.0057826
                  50,              0.0343,            0.029235,             0.01314,             0.65357,             0.61929,             0.64627,             0.43385,            0.032134,            0.016604,            0.010587,           0.0056413,           0.0056413,           0.0056413
                  51,            0.033974,            0.028955,            0.012803,             0.66235,             0.62164,             0.65111,             0.43707,            0.032023,              0.0166,            0.010632,              0.0055,              0.0055,              0.0055
                  52,            0.033959,            0.028924,             0.01303,             0.66992,             0.61548,             0.65431,              0.4409,            0.031926,            0.016577,            0.010734,           0.0053587,           0.0053587,           0.0053587
                  53,            0.033486,            0.028857,             0.01268,             0.65423,             0.63671,             0.65596,             0.44242,            0.031884,            0.016581,            0.010778,           0.0052174,           0.0052174,           0.0052174
                  54,            0.033336,            0.029116,            0.012625,             0.63523,             0.64978,              0.6576,             0.44392,            0.031848,             0.01653,             0.01065,           0.0050765,           0.0050765,           0.0050765
                  55,            0.033067,            0.028613,            0.012301,             0.66718,             0.62035,             0.65885,             0.44541,            0.031842,            0.016544,            0.010571,            0.004936,            0.004936,            0.004936
                  56,            0.032836,            0.028111,            0.011902,             0.70248,              0.5987,             0.66113,             0.44672,            0.031798,            0.016529,            0.010536,            0.004796,            0.004796,            0.004796
                  57,            0.032625,            0.028221,            0.011634,             0.65795,             0.63766,             0.66304,             0.44892,            0.031715,            0.016514,            0.010519,           0.0046568,           0.0046568,           0.0046568
                  58,              0.0322,            0.028273,            0.011678,             0.65131,             0.64588,              0.6642,             0.45168,            0.031669,            0.016516,            0.010483,           0.0045184,           0.0045184,           0.0045184
                  59,            0.032086,            0.028203,            0.011235,             0.68964,              0.6144,             0.66629,             0.45163,            0.031627,            0.016518,            0.010467,           0.0043809,           0.0043809,           0.0043809
                  60,            0.031743,            0.027588,             0.01085,             0.65234,             0.64699,             0.66849,             0.45414,            0.031571,            0.016517,            0.010453,           0.0042445,           0.0042445,           0.0042445
                  61,            0.031574,            0.027786,            0.011154,             0.65233,             0.64883,             0.66904,             0.45631,            0.031521,            0.016508,            0.010433,           0.0041094,           0.0041094,           0.0041094
                  62,            0.031618,            0.027666,            0.010763,              0.6653,             0.64142,             0.67076,             0.45752,             0.03151,            0.016493,            0.010488,           0.0039757,           0.0039757,           0.0039757
                  63,            0.031484,            0.027295,            0.010842,             0.68658,             0.62743,             0.67235,             0.45862,            0.031472,            0.016478,            0.010466,           0.0038434,           0.0038434,           0.0038434
                  64,            0.030881,            0.027215,            0.010293,             0.68068,             0.63018,             0.67301,             0.45983,            0.031455,            0.016461,             0.01043,           0.0037128,           0.0037128,           0.0037128
                  65,            0.030679,             0.02693,            0.010013,             0.68292,             0.62987,              0.6741,             0.46153,            0.031444,            0.016445,            0.010404,            0.003584,            0.003584,            0.003584
                  66,            0.030322,            0.026701,           0.0099142,             0.70877,             0.61194,             0.67546,             0.46406,            0.031409,            0.016426,            0.010378,            0.003457,            0.003457,            0.003457
                  67,            0.030276,            0.026542,           0.0099486,             0.69244,             0.62586,             0.67647,             0.46473,            0.031378,            0.016421,            0.010411,           0.0033321,           0.0033321,           0.0033321
                  68,            0.030073,            0.026578,           0.0099385,             0.69459,             0.62597,             0.67771,             0.46596,            0.031359,            0.016411,            0.010416,           0.0032093,           0.0032093,           0.0032093
                  69,             0.02995,            0.026567,           0.0095402,             0.69005,             0.62966,             0.67828,             0.46673,            0.031332,            0.016397,            0.010442,           0.0030888,           0.0030888,           0.0030888
                  70,            0.029685,            0.026165,           0.0094647,             0.70968,             0.61455,             0.67871,             0.46747,            0.031311,            0.016387,             0.01045,           0.0029706,           0.0029706,           0.0029706
                  71,            0.029647,            0.026231,           0.0093411,             0.71648,             0.61034,             0.67918,             0.46903,            0.031271,            0.016382,            0.010433,            0.002855,            0.002855,            0.002855
                  72,            0.029392,            0.026089,           0.0093631,             0.70953,              0.6156,             0.67887,             0.47032,            0.031249,             0.01638,            0.010433,           0.0027419,           0.0027419,           0.0027419
                  73,            0.029236,            0.025813,           0.0091146,             0.71135,             0.61497,             0.67894,             0.47101,            0.031237,            0.016368,            0.010405,           0.0026316,           0.0026316,           0.0026316
                  74,            0.028629,            0.025461,            0.008737,             0.71451,             0.61225,             0.67976,             0.47148,            0.031236,            0.016367,            0.010409,           0.0025241,           0.0025241,           0.0025241
                  75,            0.028575,            0.025298,           0.0087431,             0.71801,             0.61171,              0.6803,              0.4721,            0.031239,            0.016367,              0.0104,           0.0024195,           0.0024195,           0.0024195
                  76,            0.028214,            0.025291,           0.0084958,             0.72071,              0.6093,             0.68071,             0.47277,             0.03123,            0.016367,            0.010396,            0.002318,            0.002318,            0.002318
