通知人,标题,日期,链接,是否存在附件,附件下载次数
实践科,关于对2020届本科毕业设计（论文）进行查重检测的通知,"
2020-04-01
         ",https://jwch.fzu.edu.cn/info/1039/8773.htm,False,
综合科,关于2019-2020学年第二学期第二批通识教育选修课选课须知,"
2020-04-01
         ",https://jwch.fzu.edu.cn/info/1035/7348.htm,False,
实践科,关于报送2020届本科生春季学期毕业实践环节进展情况的紧急通知,"
2020-03-31
         ",https://jwch.fzu.edu.cn/info/1039/9706.htm,True,834
综合科,关于福州大学线上办理学籍成绩证明的通知,"
2020-03-30
         ",https://jwch.fzu.edu.cn/info/1035/7342.htm,False,
综合科,关于2020年清明节放假课程调整的通知,"
2020-03-28
         ",https://jwch.fzu.edu.cn/info/1035/7339.htm,False,
实践科,关于做好第二十四期、二十五期本科生科研训练计划项目结题工作的通知,"
2020-03-27
         ",https://jwch.fzu.edu.cn/info/1039/8758.htm,True,1037
实践科,关于做好国家、省级大学生创新创业训练计划项目结题工作的通知,"
2020-03-27
         ",https://jwch.fzu.edu.cn/info/1039/8761.htm,True,837
教学运行,关于做好2020-2021学年第一学期排课准备工作的通知,"
2020-03-26
         ",https://jwch.fzu.edu.cn/info/1036/7367.htm,False,
实践科,关于做好第二十六期本科生科研训练计划项目立项工作的通知,"
2020-03-20
         ",https://jwch.fzu.edu.cn/info/1039/8757.htm,False,
教学通知,福州大学关于组织申报教育部第二批新工科研究与实践项目的通知,"
2020-03-19
         ",https://jwch.fzu.edu.cn/info/1012/11328.htm,False,
教学通知,关于2019-2020学年第二学期重修补报名及独立重修班报名的通知,"
2020-03-17
         ",https://jwch.fzu.edu.cn/info/1012/11327.htm,False,
质量办,关于开展福州大学本科线上教学情况问卷调查的通知,"
2020-03-05
         ",https://jwch.fzu.edu.cn/info/1040/8993.htm,False,
教学通知,关于报送2019-2020学年春季学期各类课程调整方案的通知,"
2020-03-03
         ",https://jwch.fzu.edu.cn/info/1012/11325.htm,False,
教学通知,关于进一步完善疫情防控期间在线教学工作的指导性意见,"
2020-02-20
         ",https://jwch.fzu.edu.cn/info/1012/11324.htm,False,
教学通知,关于征集线上教学的意见和建议的通知,"
2020-02-18
         ",https://jwch.fzu.edu.cn/info/1012/11323.htm,False,
教学运行,关于2019-2020学年第二学期通识教育选修课选课须知,"
2020-02-16
         ",https://jwch.fzu.edu.cn/info/1036/7366.htm,False,
教学运行,关于公布延期开学期间各课程授课平台、班级联系群的通知（更新至2月14日16:00）,"
2020-02-12
         ",https://jwch.fzu.edu.cn/info/1036/7363.htm,False,
教学通知,关于延期开学教务教学安排致福州大学全体本科生的一封信,"
2020-02-11
         ",https://jwch.fzu.edu.cn/info/1012/11320.htm,False,
质量办,关于开展2019-2020学年第二学期课程线上教学督导检查的通知,"
2020-02-10
         ",https://jwch.fzu.edu.cn/info/1040/8991.htm,False,
教学通知,关于转发教育部关于在疫情防控期间做好普通高等学校在线教学组织与管理工作的指导意见的通知,"
2020-02-06
         ",https://jwch.fzu.edu.cn/info/1012/11318.htm,False,
实践科,福州大学关于疫情防控期间本科学生延期（暂停）实习的通知,"
2020-02-06
         ",https://jwch.fzu.edu.cn/info/1039/8756.htm,False,
教学通知,关于开展教师在线教学培训的通知,"
2020-02-03
         ",https://jwch.fzu.edu.cn/info/1012/11356.htm,False,
教学通知,福州大学关于做好2019-2020学年第二学期延期开学本科教学工作安排的通知,"
2020-02-03
         ",https://jwch.fzu.edu.cn/info/1012/11355.htm,False,
教学通知,福州大学关于开展“延期开学不停学”行动的倡议书,"
2020-02-01
         ",https://jwch.fzu.edu.cn/info/1012/11354.htm,False,
教学通知,关于2019学年第2学期期初本科生教学工作事宜的通知,"
2020-01-27
         ",https://jwch.fzu.edu.cn/info/1012/11353.htm,False,
综合科,教务处关于2020年寒假用印安排的通知,"
2020-01-16
         ",https://jwch.fzu.edu.cn/info/1035/7337.htm,False,
实践科,关于公布“紫金杯”第七届大学生GPS定向越野大赛获奖名单的通知,"
2020-01-14
         ",https://jwch.fzu.edu.cn/info/1039/8863.htm,False,
教学通知,关于核对2019-2020学年第二学期通识教育选修课开课信息的有关通知,"
2020-01-10
         ",https://jwch.fzu.edu.cn/info/1012/11350.htm,False,
实践科,关于2020年全国大学生英语竞赛报名的通知,"
2020-01-09
         ",https://jwch.fzu.edu.cn/info/1039/8859.htm,False,
实践科,关于公布省级以上大学生创新创业训练计划项目结题成绩的通知,"
2020-01-09
         ",https://jwch.fzu.edu.cn/info/1039/8861.htm,False,
实践科,关于公布2018年本科生高水平学术论文奖励名单的通知,"
2020-01-08
         ",https://jwch.fzu.edu.cn/info/1039/8857.htm,True,839
实践科,关于公布第六届“君测杯”测量技能大赛获奖名单的通知,"
2020-01-08
         ",https://jwch.fzu.edu.cn/info/1039/8845.htm,False,
综合科,关于召开2019-2020学年第一学期期末教学工作会议的通知,"
2020-01-06
         ",https://jwch.fzu.edu.cn/info/1035/7335.htm,False,
教学运行,关于2019-2020学年第二学期辅修专业选课的通知,"
2020-01-06
         ",https://jwch.fzu.edu.cn/info/1036/7359.htm,False,
教学运行,关于2019-2020学年第一学期补考试卷印制事宜的通知,"
2020-01-06
         ",https://jwch.fzu.edu.cn/info/1036/7360.htm,False,
教学运行,关于2019-2020学年第一学期《大学物理》期末考试安排的通知,"
2020-01-03
         ",https://jwch.fzu.edu.cn/info/1036/7358.htm,False,
教学运行,关于2019-2020学年第一学期《大学英语(三）》期末考试安排的通知,"
2020-01-03
         ",https://jwch.fzu.edu.cn/info/1036/7425.htm,False,
教学运行,关于2019-2020学年第一学期《大学英语(四）》期末考试安排的通知,"
2020-01-03
         ",https://jwch.fzu.edu.cn/info/1036/7423.htm,False,
教学运行,关于2019-2020学年第一学期《大学英语（一）》期末考试安排的通知,"
2020-01-03
         ",https://jwch.fzu.edu.cn/info/1036/7420.htm,False,
教学运行,关于2019-2020学年第一学期《高等数学》期末考试安排的通知,"
2020-01-03
         ",https://jwch.fzu.edu.cn/info/1036/7422.htm,False,
教学运行,关于2019-2020学年第一学期《概率论与数理统计》期末考试安排的通知,"
2020-01-03
         ",https://jwch.fzu.edu.cn/info/1036/7429.htm,False,
教学运行,关于2019-2020学年第一学期《大学英语(二）》期末考试安排的通知,"
2020-01-03
         ",https://jwch.fzu.edu.cn/info/1036/7427.htm,False,
教学运行,关于2019-2020学年第一学期《工程制图》、《画法几何》期末考试安排的通知,"
2020-01-03
         ",https://jwch.fzu.edu.cn/info/1036/7421.htm,False,
实践科,关于开展2019年度国家级实验教学示范中心和国家级虚拟仿真实验教学中心年度考核的通知,"
2019-12-31
         ",https://jwch.fzu.edu.cn/info/1039/8843.htm,False,
实践科,关于举办福州大学首届大学生虚拟仿真实验教学项目创新设计竞赛通知,"
2019-12-28
         ",https://jwch.fzu.edu.cn/info/1039/8842.htm,False,
实践科,关于开展大学生学科竞赛集训基地建设项目年度检查的通知,"
2019-12-27
         ",https://jwch.fzu.edu.cn/info/1039/8840.htm,False,
实践科,关于公布福州大学第九届大学生工程训练综合能力竞赛获奖名单的通知,"
2019-12-27
         ",https://jwch.fzu.edu.cn/info/1039/8839.htm,False,
实践科,关于做好2019年省级以上大学生创新创业训练计划项目和第二十五期本科生科研训练计划项目中期检查工作的通知,"
2019-12-27
         ",https://jwch.fzu.edu.cn/info/1039/8841.htm,False,
教学运行,2019-2020学年第一学期《大学物理实验A》（下）期末考试通知,"
2019-12-27
         ",https://jwch.fzu.edu.cn/info/1036/7419.htm,False,
实践科,关于做好2020届本科生毕业设计（论文）工作的通知,"
2019-12-27
         ",https://jwch.fzu.edu.cn/info/1039/8836.htm,False,
实践科,关于召开国家、省级大学生创新创业训练计划项目结题答辩暨经验交流会的通知,"
2019-12-26
         ",https://jwch.fzu.edu.cn/info/1039/8833.htm,False,
质量办,关于组织观看2020年工程教育认证网络视频培训的通知,"
2019-12-26
         ",https://jwch.fzu.edu.cn/info/1040/8989.htm,False,
实践科,关于对2019年学院教学有关数据进行统计的通知,"
2019-12-24
         ",https://jwch.fzu.edu.cn/info/1039/8831.htm,False,
教学运行,关于做好期末复习考试及下学期开学等工作的通知,"
2019-12-23
         ",https://jwch.fzu.edu.cn/info/1036/7415.htm,False,
教学运行,关于2019-2020学年第二学期学生学期选课的通知,"
2019-12-23
         ",https://jwch.fzu.edu.cn/info/1036/7417.htm,False,
教学运行,关于2020年元旦放假课程调整的通知,"
2019-12-23
         ",https://jwch.fzu.edu.cn/info/1036/7418.htm,False,
教学运行,关于2019-2020学年第一学期英语专题课期末考试安排的通知,"
2019-12-18
         ",https://jwch.fzu.edu.cn/info/1036/7414.htm,False,
综合科,关于报送各学院2019年教学工作总结和2020年教学工作计划的通知,"
2019-12-09
         ",https://jwch.fzu.edu.cn/info/1035/11539.htm,False,
实践科,关于做好国家、省级大学生创新创业训练计划项目结题工作的通知,"
2019-12-06
         ",https://jwch.fzu.edu.cn/info/1039/8828.htm,False,
教学运行,关于2019-2020学年第一学期计算机语言课期末考试安排的通知,"
2019-12-06
         ",https://jwch.fzu.edu.cn/info/1036/7413.htm,False,
教学运行,关于2019-2020学年第一学期《高等数学A（下）》课期末考试安排的通知,"
2019-12-03
         ",https://jwch.fzu.edu.cn/info/1036/7411.htm,False,
教学运行,关于2019-2020学年第一学期《线性代数》、《线性代数与解析几何》课期末考试安排的通知,"
2019-12-03
         ",https://jwch.fzu.edu.cn/info/1036/7412.htm,False,
教学运行,关于组织申报2019-2020学年第二学期通识教育选修课的通知,"
2019-12-02
         ",https://jwch.fzu.edu.cn/info/1036/7409.htm,False,
实践科,关于举办“君测杯”福州大学第六届测量技能大赛的通知,"
2019-12-02
         ",https://jwch.fzu.edu.cn/info/1039/8827.htm,False,
教学运行,关于2019-2020学年第一学期《大学物理》独立重修班期末考试安排的通知,"
2019-11-29
         ",https://jwch.fzu.edu.cn/info/1036/7407.htm,False,
质量办,关于福州大学2019年本科专项检查工作安排的通知,"
2019-11-28
         ",https://jwch.fzu.edu.cn/info/1040/8987.htm,False,
实践科,关于公布陈生等260位同学获得奖励学分的通知,"
2019-11-25
         ",https://jwch.fzu.edu.cn/info/1039/8826.htm,False,
教学运行,关于重申试卷印刷时间要求的通知,"
2019-11-25
         ",https://jwch.fzu.edu.cn/info/1036/7405.htm,False,
质量办,关于福州大学2019年第十七期新上岗教师达标培训班观摩公开课（二）的通知,"
2019-11-25
         ",https://jwch.fzu.edu.cn/info/1040/8986.htm,False,
实践科,关于举办福州大学第七届桥梁设计大赛的通知,"
2019-11-22
         ",https://jwch.fzu.edu.cn/info/1039/8825.htm,False,
教学运行,关于2019-2020学年第一学期《工程制图E》课期末考试安排的通知,"
2019-11-22
         ",https://jwch.fzu.edu.cn/info/1036/7402.htm,False,
实践科,关于举办紫金杯福州大学第七届大学生GPS定向越野大赛的通知,"
2019-11-21
         ",https://jwch.fzu.edu.cn/info/1039/8823.htm,False,
教学运行,关于公布2019-2020学年各学院转专业实施细则的通知,"
2019-11-21
         ",https://jwch.fzu.edu.cn/info/1036/7400.htm,False,
实践科,关于开展2018年本科生高水平学术论文奖励评选工作的通知,"
2019-11-20
         ",https://jwch.fzu.edu.cn/info/1039/8820.htm,False,
实践科,2020年第十三届福建省大学生合泰杯单片机应用设计竞赛通知及日程,"
2019-11-19
         ",https://jwch.fzu.edu.cn/info/1039/8817.htm,False,
实践科,关于公布第十一届蓝桥杯全国软件和信息技术专业人才大赛福州大学选拔赛获省赛参赛资格名单的通知,"
2019-11-15
         ",https://jwch.fzu.edu.cn/info/1039/8887.htm,False,
质量办,关于开展2019年度教师本科教学综合测评工作的通知,"
2019-11-14
         ",https://jwch.fzu.edu.cn/info/1040/9099.htm,False,
教学运行,关于知识产权与信息素养讲座第270讲--《开题与课题申请前的文献调研概述（理工类）》报名的通知,"
2019-11-13
         ",https://jwch.fzu.edu.cn/info/1036/7477.htm,False,
教学运行,关于2019-2020学年第一学期《高等数学》课期中考试安排的通知,"
2019-11-12
         ",https://jwch.fzu.edu.cn/info/1036/7475.htm,False,
质量办,关于开展福州大学2019年本科课程设计、实习与毕业设计（论文）质量专项检查工作的通知,"
2019-11-11
         ",https://jwch.fzu.edu.cn/info/1040/9096.htm,False,
实践科,关于公布“星云大数据杯”第十五届数学建模竞赛获奖名单的通知,"
2019-11-11
         ",https://jwch.fzu.edu.cn/info/1039/8886.htm,False,
计划科,2019-2020学年第一学期在校学生申请辅修专业的通知,"
2019-11-11
         ",https://jwch.fzu.edu.cn/info/1038/8141.htm,False,
实践科,关于公布第十九届高等数学竞赛获奖名单的通知,"
2019-11-11
         ",https://jwch.fzu.edu.cn/info/1039/8885.htm,False,
实践科,关于公布第六届桥梁设计大赛获奖名单的通知,"
2019-11-08
         ",https://jwch.fzu.edu.cn/info/1039/8884.htm,False,
实践科,关于举办福州大学第二届大学生虚拟仿真实验教学项目创新设计竞赛通知,"
2019-11-06
         ",https://jwch.fzu.edu.cn/info/1039/8883.htm,False,
教学运行,关于知识产权与信息素养讲座第269讲——《探寻Wiley Online Library，助力科研与学习》报名的通知,"
2019-11-06
         ",https://jwch.fzu.edu.cn/info/1036/7473.htm,False,
综合科,关于本科生学生证补办的通知,"
2019-11-05
         ",https://jwch.fzu.edu.cn/info/1035/11538.htm,True,1442
教学运行,关于组织2019级新生开展学籍信息自查工作的通知,"
2019-11-05
         ",https://jwch.fzu.edu.cn/info/1036/7470.htm,False,
综合科,关于做好2019-2020学年 第二学期教材征订工作的通知,"
2019-11-04
         ",https://jwch.fzu.edu.cn/info/1035/11537.htm,False,
教学运行,关于做好我校2019学年本科生转专业工作的通知,"
2019-10-30
         ",https://jwch.fzu.edu.cn/info/1036/11004.htm,False,
教学运行,关于知识产权与信息素养讲座第268讲——《Emerald 资源使用与投稿交流》报名的通知,"
2019-10-30
         ",https://jwch.fzu.edu.cn/info/1036/7465.htm,False,
实践科,关于紧急补报2019年高校教学基本状态数据库表GK-3工科类专业经费情况数据的通知,"
2019-10-28
         ",https://jwch.fzu.edu.cn/info/1039/8882.htm,False,
质量办,关于福州大学2019年第十七期新上岗教师达标培训班观摩公开课（一）的通知,"
2019-10-24
         ",https://jwch.fzu.edu.cn/info/1040/9094.htm,False,
教学运行,关于知识产权与信息素养讲座第267讲——《Scopus如何让科研变得更轻松》报名的通知,"
2019-10-23
         ",https://jwch.fzu.edu.cn/info/1036/7463.htm,False,
综合科,关于2019级福州大学学生证信息采集的补充通知,"
2019-10-23
         ",https://jwch.fzu.edu.cn/info/1035/11536.htm,False,
教学运行,关于做好2020届预计毕业生电子注册图像采集工作的通知,"
2019-10-22
         ",https://jwch.fzu.edu.cn/info/1036/7461.htm,False,
教学运行,关于2014-2016级学生《大学英语》免修申请的通知,"
2019-10-21
         ",https://jwch.fzu.edu.cn/info/1036/7459.htm,False,
实践科,关于举办第十一届蓝桥杯全国软件和信息技术专业人才大赛福州大学选拔赛的通知,"
2019-10-14
         ",https://jwch.fzu.edu.cn/info/1039/8881.htm,False,
教学运行,关于《形势与政策》重修独立开班及延长重修选课的通知,"
2019-10-12
         ",https://jwch.fzu.edu.cn/info/1036/7457.htm,False,
教学运行,关于知识产权与信息素养讲座第265讲——《利用图书馆资源助力外语学习》,"
2019-10-11
         ",https://jwch.fzu.edu.cn/info/1036/7455.htm,False,
教学运行,2019-2020学年上学期体育理论教室安排表,"
2019-09-30
         ",https://jwch.fzu.edu.cn/info/1036/7453.htm,False,
实践科,关于举办福州大学第九届大学生工程训练综合能力竞赛的通知,"
2019-09-25
         ",https://jwch.fzu.edu.cn/info/1039/8879.htm,False,
实践科,关于开展2020年度福州大学虚拟仿真实验教学项目（培育）建设工作的通知,"
2019-09-25
         ",https://jwch.fzu.edu.cn/info/1039/8880.htm,False,
教学运行,关于做好2019-2020学年第二学期排课准备工作的通知,"
2019-09-24
         ",https://jwch.fzu.edu.cn/info/1036/7451.htm,False,
质量办,关于2019年新上岗教师教学达标培训班教师配备导师的通知,"
2019-09-24
         ",https://jwch.fzu.edu.cn/info/1040/9091.htm,False,
教学运行,关于2019年国庆节放假课程调整的通知,"
2019-09-23
         ",https://jwch.fzu.edu.cn/info/1036/7450.htm,False,
实践科,关于举办福州大学第十七届物理实验竞赛的通知,"
2019-09-23
         ",https://jwch.fzu.edu.cn/info/1039/8878.htm,False,
实践科,关于开展2019年度大学生学科竞赛项目级别认定工作的通知,"
2019-09-20
         ",https://jwch.fzu.edu.cn/info/1039/8877.htm,False,
实践科,关于公布第八届“实达迪美杯”大学生软件设计与服务外包创新创业竞赛获奖名单的通知,"
2019-09-19
         ",https://jwch.fzu.edu.cn/info/1039/8876.htm,False,
实践科,关于公布“字节跳动”杯第十六届程序设计竞赛获奖名单的通知,"
2019-09-19
         ",https://jwch.fzu.edu.cn/info/1039/8875.htm,False,
实践科,第十一届中国大学生物理学术竞赛报名的通知,"
2019-09-19
         ",https://jwch.fzu.edu.cn/info/1039/8872.htm,False,
实践科,关于公布第十六届大学物理实验竞赛获奖名单的通知,"
2019-09-19
         ",https://jwch.fzu.edu.cn/info/1039/8874.htm,False,
综合科,关于2019级福州大学学生证信息采集的通知,"
2019-09-19
         ",https://jwch.fzu.edu.cn/info/1035/7324.htm,False,
实践科,关于公布第二届大学生VR创新大赛获奖名单的通知,"
2019-09-19
         ",https://jwch.fzu.edu.cn/info/1039/8873.htm,False,
教学运行,关于知识产权与信息素养讲座第263讲——《FULink文献检索、获取技巧及移动阅读》报名的通知,"
2019-09-18
         ",https://jwch.fzu.edu.cn/info/1036/7444.htm,False,
教学运行,关于延长2019-2020学年第一学期辅修专业缴费时间的通知,"
2019-09-18
         ",https://jwch.fzu.edu.cn/info/1036/7446.htm,False,
质量办,关于申请福州大学2019-2020学年全日制研究生助教岗位的通知,"
2019-09-18
         ",https://jwch.fzu.edu.cn/info/1040/9086.htm,False,
教学运行,关于2019-2020学年第一学期重修选课的通知,"
2019-09-18
         ",https://jwch.fzu.edu.cn/info/1036/7442.htm,False,
质量办,关于申请福州大学2019-2020学年全日制研究生助教岗位的通知,"
2019-09-18
         ",https://jwch.fzu.edu.cn/info/1040/9087.htm,False,
综合科,关于召开2019-2020学年第一学期期初教学工作会议的通知,"
2019-09-16
         ",https://jwch.fzu.edu.cn/info/1035/7319.htm,False,
质量办,关于开展2020年工程教育专业认证申请工作的通知,"
2019-09-16
         ",https://jwch.fzu.edu.cn/info/1040/9084.htm,False,
实践科,关于2019年高校教学基本状态数据库教学相关数据报送的通知,"
2019-09-12
         ",https://jwch.fzu.edu.cn/info/1039/8871.htm,False,
教学运行,关于知识产权与信息素养讲座第262讲——《玩转图书馆——带你快速了解图书馆的各种资源》报名的通知,"
2019-09-11
         ",https://jwch.fzu.edu.cn/info/1036/7438.htm,False,
实践科,关于公布第六届大学生用户体验设计大赛获奖名单的通知,"
2019-09-10
         ",https://jwch.fzu.edu.cn/info/1039/8870.htm,False,
教学运行,关于公布2019-2020学年第一学期通选课取消开课名单的通知,"
2019-09-09
         ",https://jwch.fzu.edu.cn/info/1036/7436.htm,False,
教学运行,关于2019年中秋节放假课程调整的通知,"
2019-09-09
         ",https://jwch.fzu.edu.cn/info/1036/7434.htm,False,
教学运行,关于报送2019年第三批毕业数据的通知,"
2019-09-05
         ",https://jwch.fzu.edu.cn/info/1036/7432.htm,False,
质量办,关于举办福州大学2019年第十七期新上岗教师教学达标培训班 集中培训的通知,"
2019-09-02
         ",https://jwch.fzu.edu.cn/info/1040/9082.htm,False,
教学运行,关于2019-2020学年第一学期通识教育选修课选课须知,"
2019-09-01
         ",https://jwch.fzu.edu.cn/info/1036/7525.htm,False,
教学运行,关于2019-2020学年第一学期学期选课补退选的通知,"
2019-09-01
         ",https://jwch.fzu.edu.cn/info/1036/7523.htm,False,
教学运行,关于2019-2020学年第一学期辅修专业补退选及缴费的通知,"
2019-09-01
         ",https://jwch.fzu.edu.cn/info/1036/7521.htm,False,
教学运行,关于报送2019年第二批毕业报数据说明的通知,"
2019-07-04
         ",https://jwch.fzu.edu.cn/info/1036/7519.htm,False,
实践科,关于公布2019年校级虚拟仿真实验教学项目的通知,"
2019-07-03
         ",https://jwch.fzu.edu.cn/info/1039/8869.htm,False,
综合科,教务处关于2019年暑假用印安排的通知,"
2019-07-03
         ",https://jwch.fzu.edu.cn/info/1035/11533.htm,False,
教学运行,关于2019-2020学年第一学期辅修专业选课的通知,"
2019-07-01
         ",https://jwch.fzu.edu.cn/info/1036/7517.htm,False,
综合科,关于更改期末教学工作会议时间的通知,"
2019-06-26
         ",https://jwch.fzu.edu.cn/info/1035/11532.htm,False,
实践科,关于启用福州大学大学生创新创业训练智能管理系统的通知,"
2019-06-26
         ",https://jwch.fzu.edu.cn/info/1039/8866.htm,False,
实践科,关于公布省级以上大学生创新创业训练计划项目结题成绩的通知,"
2019-06-25
         ",https://jwch.fzu.edu.cn/info/1039/8905.htm,False,
实践科,关于公布第十二届大学生结构设计竞赛获奖名单的通知,"
2019-06-25
         ",https://jwch.fzu.edu.cn/info/1039/8902.htm,False,
实践科,关于公布第四届网络信息安全竞赛获奖名单的通知,"
2019-06-25
         ",https://jwch.fzu.edu.cn/info/1039/8903.htm,False,
实践科,关于公布第七届大学生机器人竞赛获奖名单的通知,"
2019-06-25
         ",https://jwch.fzu.edu.cn/info/1039/8901.htm,False,
实践科,关于公布第二十三、二十四期本科生科研训练计划项目评审结果的通知,"
2019-06-25
         ",https://jwch.fzu.edu.cn/info/1039/8906.htm,False,
实践科,关于公布第十二届企业经营模拟沙盘对抗赛获奖名单的通知,"
2019-06-25
         ",https://jwch.fzu.edu.cn/info/1039/8900.htm,False,
实践科,关于公布福州大学2019届优秀本科生毕业设计（论文）名单的通知,"
2019-06-25
         ",https://jwch.fzu.edu.cn/info/1039/8904.htm,False,
质量办,关于开办2019年第十七期新上岗教师教学达标培训班的通知,"
2019-06-24
         ",https://jwch.fzu.edu.cn/info/1040/9080.htm,False,
质量办,关于召开“付贤智校长‘与新教师面对面座谈会”的通知,"
2019-06-24
         ",https://jwch.fzu.edu.cn/info/1040/9078.htm,False,
教学运行,关于2018-2019学年第二学期《工程制图》课程期末考试安排的通知,"
2019-06-20
         ",https://jwch.fzu.edu.cn/info/1036/7501.htm,False,
教学运行,关于2018-2019学年第二学期《大学英语（二）》课程期末考试安排的通知,"
2019-06-20
         ",https://jwch.fzu.edu.cn/info/1036/7503.htm,False,
教学运行,关于2018-2019学年第二学期英语拓展类课程期末考试安排的通知,"
2019-06-20
         ",https://jwch.fzu.edu.cn/info/1036/7515.htm,False,
综合科,关于召开2018-2019学年第二学期期末教学工作会议的通知,"
2019-06-20
         ",https://jwch.fzu.edu.cn/info/1035/7314.htm,False,
教学运行,关于2018-2019学年第二学期《线性代数》课程期末考试安排的通知,"
2019-06-20
         ",https://jwch.fzu.edu.cn/info/1036/7499.htm,False,
教学运行,关于2018-2019学年第二学期《大学英语（三）》课程期末考试安排的通知,"
2019-06-20
         ",https://jwch.fzu.edu.cn/info/1036/7505.htm,False,
教学运行,关于2018-2019学年第二学期《高等数学》课程期末考试安排的通知,"
2019-06-20
         ",https://jwch.fzu.edu.cn/info/1036/7512.htm,False,
教学运行,关于2018-2019学年第二学期《概率论与数理统计》课程期末考试安排的通知,"
2019-06-20
         ",https://jwch.fzu.edu.cn/info/1036/7507.htm,False,
教学运行,关于2018-2019学年第二学期《大学物理》课程期末考试安排的通知,"
2019-06-20
         ",https://jwch.fzu.edu.cn/info/1036/7510.htm,False,
教学运行,关于2018-2019学年第二学期《大学英语（四）》课程期末考试安排的通知,"
2019-06-17
         ",https://jwch.fzu.edu.cn/info/1036/7497.htm,False,
教学运行,关于2018-2019学年第二学期《大学物理实验》课笔试安排的通知,"
2019-06-14
         ",https://jwch.fzu.edu.cn/info/1036/7495.htm,False,
教学运行,关于2019-2020学年第一学期学生学期选课的通知,"
2019-06-10
         ",https://jwch.fzu.edu.cn/info/1036/7492.htm,False,
教学运行,关于做好期末复习考试及下学期开学等工作的通知,"
2019-06-04
         ",https://jwch.fzu.edu.cn/info/1036/7490.htm,False,
实践科,关于召开国家、省级大学生创新创业训练计划项目结题答辩暨经验交流会的通知,"
2019-06-03
         ",https://jwch.fzu.edu.cn/info/1039/8899.htm,False,
实践科,关于2019届本科生毕业设计（论文）推优和抽检工作的通知,"
2019-05-31
         ",https://jwch.fzu.edu.cn/info/1039/8898.htm,False,
教学运行,关于2019年端午节放假课程调整的通知,"
2019-05-31
         ",https://jwch.fzu.edu.cn/info/1036/7487.htm,False,
教学运行,关于知识产权与信息素养讲座第261讲——《专利信息挖掘》报名的通知,"
2019-05-29
         ",https://jwch.fzu.edu.cn/info/1036/7485.htm,False,
实践科,关于公布第五届材料创新、设计及应用大赛获奖名单的通知,"
2019-05-24
         ",https://jwch.fzu.edu.cn/info/1039/8896.htm,False,
实践科,关于公布2019年TI杯大学生电子设计竞赛获奖名单的通知,"
2019-05-24
         ",https://jwch.fzu.edu.cn/info/1039/8894.htm,False,
实践科,关于公布第九届大学生节能减排社会实践与科技竞赛获奖名单的通知,"
2019-05-24
         ",https://jwch.fzu.edu.cn/info/1039/8895.htm,False,
实践科,关于公布首届虚拟仿真实验教学项目创新设计竞赛获奖名单的通知,"
2019-05-24
         ",https://jwch.fzu.edu.cn/info/1039/8897.htm,False,
综合科,关于本科生学生证补办的通知,"
2019-05-24
         ",https://jwch.fzu.edu.cn/info/1035/7309.htm,False,
综合科,福州大学关于印发 福州大学学生证管理办法的通知,"
2019-05-23
         ",https://jwch.fzu.edu.cn/info/1035/7307.htm,False,
质量办,关于第十六期新上岗教师观摩青年教师“最佳一节课”竞赛决赛的通知,"
2019-05-20
         ",https://jwch.fzu.edu.cn/info/1040/9076.htm,False,
计划科,关于组织申报2019-2020学年第一学期通识教育选修课的通知,"
2019-05-20
         ",https://jwch.fzu.edu.cn/info/1038/8140.htm,False,
教学运行,关于知识产权与信息素养讲座第260讲——《专利情报分析》报名的通知,"
2019-05-17
         ",https://jwch.fzu.edu.cn/info/1036/7573.htm,False,
教学运行,2018-2019学年下学期体育理论教室安排表,"
2019-05-17
         ",https://jwch.fzu.edu.cn/info/1036/7483.htm,False,
综合科,关于组织报名参加中国高等教育博览会（2019• 春）的通知,"
2019-05-17
         ",https://jwch.fzu.edu.cn/info/1035/11568.htm,False,
实践科,关于公布聂凯等254位同学获得奖励学分的通知,"
2019-05-16
         ",https://jwch.fzu.edu.cn/info/1039/8893.htm,False,
教学运行,关于知识产权与信息素养讲座第259讲——《知识产权与创意保护》报名的讲座,"
2019-05-15
         ",https://jwch.fzu.edu.cn/info/1036/7571.htm,False,
实践科,关于2019年全国大学生统计建模大赛参赛报名的通知,"
2019-05-15
         ",https://jwch.fzu.edu.cn/info/1039/8892.htm,False,
教学运行,关于2018-2019学年第二学期计算机语言类课程期末考试安排的通知,"
2019-05-14
         ",https://jwch.fzu.edu.cn/info/1036/7568.htm,False,
实践科,关于做好第二十三期、二十四期本科生科研训练计划项目结题工作的通知,"
2019-05-08
         ",https://jwch.fzu.edu.cn/info/1039/8891.htm,False,
实践科,关于做好国家、省级大学生创新创业训练计划项目结题工作的通知,"
2019-05-08
         ",https://jwch.fzu.edu.cn/info/1039/8890.htm,False,
实践科,关于公布第二十五期本科生科研训练计划立项项目的通知,"
2019-05-07
         ",https://jwch.fzu.edu.cn/info/1039/8889.htm,False,
教材中心,关于做好2019-2020学年第一学期教材征订工作的通知,"
2019-05-06
         ",https://jwch.fzu.edu.cn/info/1042/10005.htm,True,1302
质量办,关于做好2019-2020学年第一学期教材征订工作的通知,"
2019-05-06
         ",https://jwch.fzu.edu.cn/info/1040/9241.htm,True,1003
