通知人,标题,日期,链接,是否存在附件,附件下载次数
教研教改,关于公布参加2025级“嘉锡化学拔尖班”选拔面试学生名单的通知,"
2025-09-10
         ",https://jwch.fzu.edu.cn/info/1037/14196.htm,False,
教学运行,关于做好2025年9月退役复学学生转专业的通知,"
2025-09-10
         ",https://jwch.fzu.edu.cn/info/1036/14199.htm,True,115
教学运行,关于2025-2026第一学期学期选课、辅修选课补退选和缴费的通知,"
2025-09-07
         ",https://jwch.fzu.edu.cn/info/1036/14191.htm,False,
综合科,关于2025-2026学年第一学期本科生学生证补办和火车票优惠区间更改的通知,"
2025-09-07
         ",https://jwch.fzu.edu.cn/info/1035/14190.htm,False,
综合科,关于2025级本科生（含访学学生）学生证信息采集的通知,"
2025-09-07
         ",https://jwch.fzu.edu.cn/info/1035/14186.htm,False,
质量办,关于开展2025年秋季学期申请类督导听课工作的通知,"
2025-09-06
         ",https://jwch.fzu.edu.cn/info/1040/14187.htm,True,53
质量办,关于开展2025年工程教育专业认证申请工作的通知,"
2025-09-06
         ",https://jwch.fzu.edu.cn/info/1040/14188.htm,True,76
质量办,关于开学第一周集中听课的通知,"
2025-09-06
         ",https://jwch.fzu.edu.cn/info/1040/14189.htm,True,116
计划科,关于2025-2026学年第一学期港澳台侨学生思政课和军事课程退选替代的通知,"
2025-09-06
         ",https://jwch.fzu.edu.cn/info/1038/14185.htm,True,554
计划科,关于2025-2026学年第一学期通识教育选修课选课的通知,"
2025-09-06
         ",https://jwch.fzu.edu.cn/info/1038/14184.htm,True,743
教材中心,关于2025-2026学年第一学期教材发放的通知,"
2025-09-05
         ",https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1042&wbnewsid=14182,False,
教研教改,福州大学关于开展2025级“数理综合班”招生工作的通知,"
2025-09-05
         ",https://jwch.fzu.edu.cn/info/1037/14181.htm,True,1668
教研教改,福州大学关于开展2025级“数智实验班” 招生工作的通知,"
2025-09-05
         ",https://jwch.fzu.edu.cn/info/1037/14179.htm,True,1467
