date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,sunshine_duration
2025-10-21 00:00:00+00:00,12.458001,16.1455,9.3955,1.6,14400.0
2025-10-22 00:00:00+00:00,13.26842,16.6955,10.195499,1.1000001,13160.553
2025-10-23 00:00:00+00:00,12.425042,15.139,9.7455,6.9,0.0
2025-10-24 00:00:00+00:00,11.124416,12.789,8.539,0.6,29781.633
2025-10-25 00:00:00+00:00,9.497333,10.738999,7.889,4.3999996,0.0
2025-10-26 00:00:00+00:00,8.166854,9.289,7.239,7.0000005,11325.612
2025-10-27 00:00:00+00:00,8.83825,9.9695,6.7194996,2.1000001,19767.818
