标题,日期,通知人,详细链接,附件1,下载次数1,链接码1,附件2,下载次数2,链接码2,附件3,下载次数3,链接码3,附件4,下载次数4,链接码4,附件5,下载次数5,链接码5,附件6,下载次数6,链接码6,附件7,下载次数7,链接码7,附件8,下载次数8,链接码8,附件9,下载次数9,链接码9
关于开展大学生劳动教育优秀案例征集活动的通知,2025-09-16,实践科,https://jwch.fzu.edu.cn/../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14216,2021-2025年福州大学大学生劳动教育实践基地立项建设名单.docx,26,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16718938,附件：福州大学大学生劳动教育优秀案例征集汇总表.docx,27,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16718678,,,,,,,,,,,,,,,,,,,,,
关于公布2025-2026学年第一学期通选课取消开课名单的通知,2025-09-15,计划科,https://jwch.fzu.edu.cn/../info/1038/14213.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
关于2025级“数智实验班”入选学生名单的公示,2025-09-12,教研教改,https://jwch.fzu.edu.cn/../info/1037/14206.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
关于2025级“数理综合班”入选学生名单的公示,2025-09-12,教研教改,https://jwch.fzu.edu.cn/../info/1037/14205.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
关于2025级“嘉锡化学拔尖班”入选学生名单的公示,2025-09-12,教研教改,https://jwch.fzu.edu.cn/../info/1037/14204.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
关于2025级“数理金融实验班”入选学生名单的公示,2025-09-12,教研教改,https://jwch.fzu.edu.cn/../info/1037/14203.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
关于开展福州大学2025年教师教学创新大赛的通知,2025-09-12,质量办,https://jwch.fzu.edu.cn/../info/1040/14202.htm,附件1-5.zip,211,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16717599,,,,,,,,,,,,,,,,,,,,,,,,
关于公布参加2025级“数智实验班”选拔面试学生名单的通知,2025-09-10,教研教改,https://jwch.fzu.edu.cn/../info/1037/14201.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
关于公布参加2025级“数理综合班”选拔面试学生名单的通知,2025-09-10,教研教改,https://jwch.fzu.edu.cn/../info/1037/14198.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
关于公布参加2025级“数理金融实验班”选拔面试学生名单的通知,2025-09-10,教研教改,https://jwch.fzu.edu.cn/../info/1037/14197.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
关于公布参加2025级“嘉锡化学拔尖班”选拔面试学生名单的通知,2025-09-10,教研教改,https://jwch.fzu.edu.cn/../info/1037/14196.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
关于做好2025年9月退役复学学生转专业的通知,2025-09-10,教学运行,https://jwch.fzu.edu.cn/../info/1036/14199.htm,福州大学本科生转专业管理实施办法.docx,283,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16716630,福州大学参军退伍复学后学生转专业审批表.doc,169,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16716625,,,,,,,,,,,,,,,,,,,,,
关于做好2025年9月退役复学学生转专业的通知,2025-09-10,教学通知,https://jwch.fzu.edu.cn/../info/1012/14194.htm,福州大学本科生转专业管理实施办法.docx,283,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16716630,福州大学参军退伍复学后学生转专业审批表.doc,169,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16716625,,,,,,,,,,,,,,,,,,,,,
关于2025-2026第一学期学期选课、辅修选课补退选和缴费的通知,2025-09-07,教学运行,https://jwch.fzu.edu.cn/../info/1036/14191.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
关于2025-2026学年第一学期本科生学生证补办和火车票优惠区间更改的通知,2025-09-07,综合科,https://jwch.fzu.edu.cn/../info/1035/14190.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
关于2025级本科生（含访学学生）学生证信息采集的通知,2025-09-07,综合科,https://jwch.fzu.edu.cn/../info/1035/14186.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
关于开展2025年秋季学期申请类督导听课工作的通知,2025-09-06,质量办,https://jwch.fzu.edu.cn/../info/1040/14187.htm,附件：2025年秋季学期申请类督导听课汇总表.docx,98,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714968,,,,,,,,,,,,,,,,,,,,,,,,
关于开展2025年工程教育专业认证申请工作的通知,2025-09-06,质量办,https://jwch.fzu.edu.cn/../info/1040/14188.htm,附件3 工程教育认证申请书（2025版）修订说明.pdf,453,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714969,附件2 工程教育认证申请书（2025版）.docx,127,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714970,附件1 2025年接受认证申请的专业领域及专业一览表.pdf,462,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714971,,,,,,,,,,,,,,,,,,
关于开学第一周集中听课的通知,2025-09-06,质量办,https://jwch.fzu.edu.cn/../info/1040/14189.htm,附件1：福州大学课堂教学质量评估表.doc,113,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714972,附件2：福州大学课堂教学质量评估表（思政课）.docx,106,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714973,附件3：202501第一周课表.xlsx,176,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714974,附件4：福州大学党政领导听课管理实施办法（福大教〔2022〕27号）.doc,73,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714975,,,,,,,,,,,,,,,
关于2025-2026学年第一学期港澳台侨学生思政课和军事课程退选替代的通知,2025-09-06,计划科,https://jwch.fzu.edu.cn/../info/1038/14185.htm,2025-2026学年第一学期国情课列表.docx,578,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714904,港澳台侨学生思政课和军事课程退选申请表.docx,614,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714905,,,,,,,,,,,,,,,,,,,,,
关于2025-2026学年第一学期通识教育选修课选课的通知,2025-09-06,计划科,https://jwch.fzu.edu.cn/../info/1038/14184.htm,超星尔雅使用手册（学生版）.pdf,1122,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714902,慕课堂学生操作手册.pdf,792,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714903,智慧树学生手册2025.pptx,1116,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714901,,,,,,,,,,,,,,,,,,
关于2025-2026学年第一学期教材发放的通知,2025-09-05,教材中心,https://jwch.fzu.edu.cn/../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1042&wbnewsid=14182,,,,,,,,,,,,,,,,,,,,,,,,,,,
福州大学关于开展2025级“数理综合班”招生工作的通知,2025-09-05,教研教改,https://jwch.fzu.edu.cn/../info/1037/14181.htm,附件1：福州大学2025级“数理综合班”招生简章.doc,1742,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714578,附件2：承诺书.doc,440,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714579,,,,,,,,,,,,,,,,,,,,,
福州大学关于开展2025级“数智实验班” 招生工作的通知,2025-09-05,教研教改,https://jwch.fzu.edu.cn/../info/1037/14179.htm,附件2：福州大学2025级“数智实验班”选拔方案.docx,1544,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714573,附件1：福州大学2025级“数智实验班”招生简章.docx,1563,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714572,附件3：承诺书.docx,334,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714574,,,,,,,,,,,,,,,,,,
福州大学关于开展2025级“嘉锡化学拔尖班”招生工作的通知,2025-09-04,教研教改,https://jwch.fzu.edu.cn/../info/1037/14177.htm,附件1：福州大学2025级“嘉锡化学拔尖班”招生简章.doc,685,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714466,附件2：福州大学2025级“嘉锡化学拔尖班”选拔方案.doc,455,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714465,,,,,,,,,,,,,,,,,,,,,
福州大学关于开展2025级“数理金融实验班”招生工作的通知,2025-09-02,教研教改,https://jwch.fzu.edu.cn/../info/1037/14176.htm,附件2：福州大学2025级“数理金融实验班”选拔方案.doc,716,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714218,附件1：福州大学2025级“数理金融实验班”招生简章.doc,894,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714580,附件3：2025级数理金融实验班申请表.doc,334,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714220,附件4：承诺书.doc,224,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714221,,,,,,,,,,,,,,,
关于开展二期智慧教室、智慧实验室使用培训工作的通知,2025-08-29,电教中心,https://jwch.fzu.edu.cn/../info/1041/14172.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
关于填报2024年度非学历教育发展数据的通知,2025-08-20,综合科,https://jwch.fzu.edu.cn/../info/1035/14171.htm,附件：2024年度福州大学非学历教育数据采集表-模板.xlsx,152,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16712478,,,,,,,,,,,,,,,,,,,,,,,,
福州大学关于公布本科生开放探索性实验项目（课程）立项名单的通知,2025-07-08,实践科,https://jwch.fzu.edu.cn/../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14152,,,,,,,,,,,,,,,,,,,,,,,,,,,
教务处关于2025年暑假工作安排的通知,2025-07-05,综合科,https://jwch.fzu.edu.cn/../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1035&wbnewsid=14151,教务处2025年暑假值班表.xlsx,357,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16681320,,,,,,,,,,,,,,,,,,,,,,,,
关于公布2023年、2024年本科生科研训练计划项目结题成绩的通知,2025-07-04,实践科,https://jwch.fzu.edu.cn/../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14149,附件1：福州大学2023年国家级、省级、校级本科生科研训练计划项目结题成绩汇总表.docx,480,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16681324,附件2：福州大学2024年国家级、省级、校级本科生科研训练计划项目结题成绩汇总表.docx,941,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16490726,,,,,,,,,,,,,,,,,,,,,
关于公布2025年第二十五届数学竞赛获奖名单的通知,2025-07-02,实践科,https://jwch.fzu.edu.cn/../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14147,,,,,,,,,,,,,,,,,,,,,,,,,,,
关于公布第十六届企业经营模拟沙盘对抗赛获奖名单的通知,2025-06-30,实践科,https://jwch.fzu.edu.cn/../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14143,,,,,,,,,,,,,,,,,,,,,,,,,,,
关于公布2025年大学生电子设计竞赛暨全国大学生电子设计竞赛选拔赛获奖名单的通知,2025-06-30,实践科,https://jwch.fzu.edu.cn/../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14142,附件：2025年福州大学大学生电子设计竞赛暨全国大学生电子设计竞赛选拔赛获奖名单.docx,352,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16489152,,,,,,,,,,,,,,,,,,,,,,,,
关于2025-2026学年第一学期辅修专业选课的通知,2025-06-30,教学运行,https://jwch.fzu.edu.cn/../info/1036/14141.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
关于公布第十四届大学生软件设计与服务外包创新创业竞赛获奖名单的通知,2025-06-27,实践科,https://jwch.fzu.edu.cn/../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14139,,,,,,,,,,,,,,,,,,,,,,,,,,,
福州大学关于公布2025届本科生优秀毕业设计（论文）名单的通知,2025-06-24,实践科,https://jwch.fzu.edu.cn/../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14134,附件：福州大学2025届本科生优秀毕业设计（论文）名单.docx,1393,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16487801,,,,,,,,,,,,,,,,,,,,,,,,
福州大学关于公布大学生劳动教育实践基地立项名单的通知,2025-06-24,实践科,https://jwch.fzu.edu.cn/../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14135,,,,,,,,,,,,,,,,,,,,,,,,,,,
福州大学关于公布示范性校外实践教学基地立项名单的通知,2025-06-24,实践科,https://jwch.fzu.edu.cn/../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14133,,,,,,,,,,,,,,,,,,,,,,,,,,,
关于举办福州大学第七十二场“教学有道”暨数智课程建设与应用实操工作坊的通知,2025-06-24,质量办,https://jwch.fzu.edu.cn/../info/1040/14131.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
关于2025高教社杯全国大学生数学建模竞赛报名的通知,2025-06-23,实践科,https://jwch.fzu.edu.cn/../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14128,,,,,,,,,,,,,,,,,,,,,,,,,,,
关于更改2024-2025学年春季学期期末本科教育教学工作会议地点的通知,2025-06-23,综合科,https://jwch.fzu.edu.cn/../info/1035/14127.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
关于做好期末复习考试及下学期开学等工作的通知,2025-06-21,教学运行,https://jwch.fzu.edu.cn/../info/1036/14126.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
